"Price","Pool"
"1", 286097, 0
"2", 279378, 0
"3", 275213, 1
"4", 279604, 0
"5", 274283, 1
"6", 274714, 0
"7", 278077, 0
"8", 283042, 0
"9", 288362, 1
"10", 272314, 0
"11", 273109, 0
"12", 282477, 1
"13", 284691, 0
"14", 278121, 1
"15", 282532, 0
"16", 276452, 1
"17", 276430, 1
"18", 280658, 1
"19", 277156, 0
"20", 279507, 1
"21", 271577, 0
"22", 286417, 1
"23", 283987, 0
"24", 286393, 1
"25", 282188, 1
"26", 274222, 1
"27", 272886, 0
"28", 287920, 1
"29", 271202, 1
"30", 278125, 0
"31", 282981, 1
"32", 279988, 0
"33", 280239, 0
"34", 271192, 0
"35", 270268, 0
"36", 285213, 1
"37", 281494, 0
"38", 283111, 0
"39", 285457, 1
"40", 288777, 1
"41", 276341, 0
"42", 278753, 0
"43", 276676, 0
"44", 279836, 0
"45", 275087, 0
"46", 274728, 1
"47", 280101, 1
"48", 278245, 0
"49", 278539, 0
"50", 276475, 1
"51", 283160, 0
"52", 279940, 0
"53", 284425, 1
"54", 279047, 0
"55", 281563, 1
"56", 284525, 0
"57", 278777, 1
"58", 276410, 0
"59", 272462, 1
"60", 281215, 0
"61", 282502, 0
"62", 280433, 1
"63", 286231, 1
"64", 277019, 0
"65", 273200, 1
"66", 276486, 0
"67", 281039, 0
"68", 279475, 1
"69", 282551, 1
"70", 280342, 0
"71", 275709, 1
"72", 287288, 1
"73", 283694, 0
"74", 277741, 0
"75", 280109, 1
"76", 283023, 0
"77", 269546, 0
"78", 285306, 0
"79", 280556, 1
"80", 274889, 0
"81", 273187, 1
"82", 275141, 0
"83", 272569, 0
"84", 282230, 1
"85", 273826, 1
