"Price","Town"
"1", 279281, 1
"2", 270066, 1
"3", 285400, 1
"4", 283619, 0
"5", 282099, 1
"6", 283949, 0
"7", 278850, 0
"8", 276907, 1
"9", 283499, 1
"10", 281796, 1
"11", 282713, 0
"12", 280217, 1
"13", 283194, 1
"14", 288439, 1
"15", 280301, 0
"16", 276755, 1
"17", 291698, 0
"18", 279394, 0
"19", 270249, 0
"20", 282694, 0
"21", 288468, 0
"22", 276045, 0
"23", 275624, 1
"24", 276961, 0
"25", 283772, 0
"26", 283267, 1
"27", 279383, 0
"28", 276185, 0
"29", 282141, 1
"30", 286597, 1
"31", 280783, 0
"32", 276556, 0
"33", 282265, 0
"34", 275662, 1
"35", 283008, 1
"36", 279676, 0
"37", 282577, 1
"38", 276972, 0
"39", 276462, 1
"40", 292308, 1
"41", 277984, 1
"42", 273511, 0
"43", 283532, 1
"44", 275733, 0
"45", 273470, 1
"46", 287012, 1
"47", 274861, 0
"48", 285691, 1
"49", 278284, 1
"50", 282565, 0
"51", 279237, 1
"52", 286633, 0
"53", 275299, 1
"54", 287066, 0
"55", 276989, 0
"56", 277792, 0
"57", 282218, 1
"58", 283984, 1
"59", 279400, 0
"60", 270651, 1
"61", 283928, 1
"62", 282447, 0
"63", 274967, 0
"64", 287348, 1
"65", 286620, 1
"66", 285212, 1
"67", 289103, 1
"68", 282238, 0
"69", 269505, 1
"70", 279604, 0
"71", 277385, 0
"72", 277912, 0
"73", 282524, 1
"74", 279843, 0
"75", 281526, 1
"76", 293313, 1
"77", 277800, 1
"78", 286057, 0
"79", 284556, 1
"80", 279987, 1
"81", 288056, 1
"82", 287444, 1
"83", 282927, 0
"84", 287395, 1
"85", 275631, 0
"86", 279307, 0
"87", 275024, 1
"88", 281647, 0
"89", 275588, 1
"90", 277413, 0
