"Region" "C1" "C2" "C3" "C4" "C5" "C6"
"1" "A" 80868 90918 46822 69976 82648 73898
"2" "A" 86437 93692 53879 60473 88559 79949
"3" "A" 80894 78927 56625 61775 80919 82719
"4" "A" 88106 92970 55595 65911 81373 68053
"5" "A" 87099 89719 50221 54646 78609 80090
"6" "A" 90793 89486 52938 61731 74115 75925
"7" "A" 82029 89703 56500 65816 80177 76733
"8" "A" 87485 92783 47556 58463 82823 81843
"9" "A" 83438 94406 52991 58940 82706 72353
"10" "A" 91165 99902 49164 56779 83849 77325
"11" "A" 96008 89804 54449 62140 77284 78944
"12" "A" 74975 97328 51766 72863 83378 74450
"13" "A" 87054 85330 44732 63457 78784 78006
"14" "A" 84372 87052 48157 61324 86890 70382
"15" "A" 86970 91665 56315 60479 82850 79335
"16" "A" 81287 96039 56802 65501 88934 80792
"17" "A" 77617 87134 44877 59633 77898 78211
"18" "A" 79445 90790 47727 70836 84584 82551
"19" "A" 85921 98411 47821 59692 88161 74747
"20" "A" 82963 88036 49400 60604 83471 77113
"21" "A" 81470 96715 49927 61102 80499 81563
"22" "A" 83632 89812 47592 60379 81301 75056
"23" "A" 86657 82408 52533 54318 79495 75359
"24" "A" 80740 89716 41428 67883 72675 75682
"25" "A" 78420 86246 61436 62087 74568 69797
"26" "A" 86251 89907 49410 57353 73563 72624
"27" "A" 89000 86894 44078 71346 83126 76807
"28" "A" 89292 94432 47904 73031 79725 70878
"29" "A" 83278 91038 62540 62529 83285 77614
"30" "A" 82330 89826 54938 72376 86137 84040
"31" "A" 77843 94919 52100 54664 83605 77206
"32" "A" 91323 86170 48849 57369 80114 80010
"33" "A" 80341 94152 44960 56760 88206 72921
"34" "A" 86060 88095 53047 70444 88933 76345
"35" "A" 72574 102488 54335 64707 80933 80551
"36" "A" 83178 92103 48999 55149 85939 85599
"37" "A" 82456 83734 54211 61776 72334 78011
"38" "A" 80848 88295 45217 71016 79344 69972
"39" "A" 84986 91316 46071 47555 77798 80853
"40" "A" 83701 89509 53804 56068 86484 77973
"41" "A" 87537 95171 52117 57606 86815 67999
"42" "A" 81276 88722 50169 67102 81681 80036
"43" "A" 83652 88762 54478 67731 68985 80864
"44" "A" 85874 87874 55755 60054 79578 82287
"45" "A" 92598 91350 48889 56054 79345 73301
"46" "A" 82705 91972 46741 75246 81780 83651
"47" "A" 72554 93705 44419 66599 82991 75962
"48" "A" 90621 86494 48097 56995 77659 82726
"49" "A" 86169 95026 49049 63882 82221 70869
"50" "A" 92892 90672 54828 66776 80747 76471
"51" "A" 88468 84764 60857 60082 89271 85561
"52" "A" 84415 92836 45877 63615 86218 78495
