"x" "y1" "y2" "y3" "y4" "y5"
"1" 1 48.686 43.222 32.612 32.457 31.471
"2" 0 46.962 50.487 23.134 29.655 43.117
"3" 0 48.836 40.467 31.301 23.246 29.222
"4" 1 58.536 43.963 38.671 33.997 36.792
"5" 0 50.619 48.394 36.08 28.4 38.486
"6" 1 52.405 41.011 36.985 28.215 33.267
"7" 0 39.161 37.042 34.742 27.446 27.33
"8" 1 51.591 50.902 48.788 20.606 33.583
"9" 1 50.83 51.113 39.905 25.241 40.582
"10" 1 45.5 44.945 40.776 41.366 36.31
"11" 1 50.382 46.728 36.196 31.013 37.888
"12" 0 47.796 45.471 30.251 18.457 32.49
"13" 1 52.718 45.034 53.751 29.717 39.502
"14" 1 53.524 48.713 45.237 30.314 42.033
"15" 1 51.595 50.211 44.59 33.551 37.814
"16" 0 52.546 43.403 40.351 27.038 25.718
"17" 1 53.846 46.613 36.913 31.493 34.881
"18" 0 52.767 48.425 38.211 33.213 32.152
"19" 1 56.303 46.601 35.491 40.564 44.381
"20" 1 53.503 35.425 46.698 34.589 36.72
"21" 0 49.163 33.3 42.019 22.136 32.173
"22" 1 45.387 47.414 41.592 34.963 35.863
"23" 1 46.922 50.893 39.048 32.398 37.716
"24" 1 45.667 38.536 34.564 28.517 30.773
"25" 0 38.802 48.079 38.727 34.079 42.414
"26" 0 40.371 46.28 50.314 25.001 33.584
"27" 1 45.555 48.639 44.618 32.746 40.106
"28" 1 47.212 51.621 43.709 31.399 45.887
"29" 1 49.688 45.736 47.08 34.583 36.743
"30" 0 59.113 42.007 44.258 21.344 32.722
"31" 0 48.713 55.963 48.545 22.602 32.887
"32" 1 50.021 56.636 43.552 41.149 49.655
"33" 0 47.146 50.674 30.624 31.932 32.506
"34" 1 48.033 44.046 37.051 33.301 38.832
"35" 1 46.036 47.374 40.699 28.619 36.652
"36" 0 45.441 42.273 35.441 31.38 37.222
"37" 1 48.27 50.278 40.755 18.629 45.044
"38" 1 48.477 47.145 42.21 34.54 30.169
"39" 1 41.071 35.9 39.188 24.569 38.845
"40" 1 52.936 41.54 44.859 28.922 30.472
"41" 0 55.179 35.341 34.644 26.333 37.975
"42" 1 46.773 51.048 48.192 31.061 44.22
"43" 1 53.095 43.605 34.659 25.304 37.819
"44" 0 48.182 39.521 37.943 26.904 30.944
"45" 0 51.233 44.489 28.674 31.22 39.421
"46" 1 47.132 46.785 40.091 31.859 32.411
"47" 1 55.59 40.588 38.765 33.136 33.825
"48" 0 39.3 44.717 33.403 24.634 40.504
"49" 0 44.809 42.095 27.134 26.457 37.496
"50" 0 46.247 48.22 34.753 34.536 30.718
"51" 0 49.595 55.117 40.626 28.401 31.97
"52" 1 52.938 49.312 38.621 35.825 35.061
"53" 0 46.603 44.875 38.274 26.891 29.573
"54" 0 41.128 48.003 36.059 36.241 38.024
"55" 1 51.544 51.082 37.915 37.202 34.137
"56" 1 41.981 39.117 34.179 33.81 28.031
"57" 0 51.956 41.953 46.689 32.797 28.454
"58" 0 52.116 46.936 36.73 37.996 30.184
"59" 0 51.201 38.004 33.131 29.508 26.911
"60" 0 47.6 51.162 43.556 22.752 23.898
"61" 1 47.869 45.078 44.867 28.712 36.002
"62" 1 52.295 36.895 46.286 19.835 48.592
"63" 1 53.225 41.673 48.881 32.935 45.076
"64" 0 50.058 42.126 24.584 30.803 35.824
"65" 1 45.554 40.491 43.299 30.566 32.594
"66" 1 57.719 52.458 45.897 32.858 33.29
"67" 0 40.791 44.314 39.968 25.172 31.779
"68" 1 55.517 45.541 34.051 31.59 43.427
"69" 1 54.914 39.824 38.217 29.132 40.792
"70" 1 51.522 42.776 32.672 25.437 27.119
"71" 1 42.226 44.02 34.546 20.766 42.387
"72" 1 57.849 38.653 36.714 33.348 42.213
"73" 0 50.442 49.768 49.315 29.456 32.742
"74" 1 49.112 47.363 40.438 37.833 34.549
"75" 1 53.646 42.206 43.838 25.776 28.805
"76" 0 54.666 51.21 34.934 35.488 34.415
"77" 0 49.533 44.924 38.763 31.504 21.737
"78" 1 50.167 41.041 37.041 26.115 41.672
"79" 1 42.662 42.992 35.196 29.808 38.729
"80" 0 52.096 35.516 35.075 35.547 29.753
"81" 0 44.033 49.86 41.283 32.682 30.194
"82" 0 51.062 42.43 36.549 28.183 34.674
"83" 1 54.331 45.073 44.52 29.472 38.16
"84" 1 51.842 43.695 40.995 31.669 44.185
"85" 1 55.674 52.612 39.742 34.051 38.282
"86" 0 43.215 37.633 33.459 21.582 32.273
"87" 1 52.226 44.917 34.288 33.329 35.038
"88" 1 54.58 45.123 44.952 26.038 31.696
"89" 1 51.349 44.994 40.561 37.639 34.582
"90" 1 55.038 42.83 45.748 22.567 37.183
"91" 1 42.693 42.972 35.448 26.644 35.808
"92" 1 45.626 45.776 34.481 38.376 35.106
"93" 0 47.826 40.138 29.826 33.06 40.905
"94" 1 51.036 52.741 31.918 28.839 45.703
"95" 1 52.412 43.149 35.816 33.026 41.515
"96" 0 46.642 54.808 43.465 24.204 32.681
"97" 1 45.555 41.95 46.175 24.178 34.297
"98" 1 52.43 44.613 40.86 25.65 32.83
"99" 1 51.702 35.856 40.602 28.694 36.52
"100" 0 41.51 49.03 40.788 27.529 25.785
