"Price" "HouseSize" "LotSize" "Pool"
"1" "266402.08" "1955.23" "19080.27" "Yes"
"2" "299768.62" "2086.44" "20642.18" "Yes"
"3" "260175.77" "1785.64" "19015.1" "Yes"
"4" "280048.47" "1689.44" "20234.75" "Yes"
"5" "304669.37" "2084.48" "20910.89" "Yes"
"6" "269950.62" "1498.38" "20002.94" "Yes"
"7" "271923.56" "1871.83" "19505.84" "Yes"
"8" "269470.73" "1664.89" "19715.3" "Yes"
"9" "274711.9" "1736.27" "19876.37" "Yes"
"10" "281074.14" "1871.64" "19990.96" "Yes"
"11" "297399" "1785.91" "21009.45" "Yes"
"12" "266985.52" "1831.29" "19302.07" "Yes"
"13" "262789.23" "1482.32" "19641.39" "Yes"
"14" "276644.69" "1874.57" "19752.51" "Yes"
"15" "262915.72" "1451.19" "19710.04" "Yes"
"16" "276910.86" "1703.1" "20043.33" "Yes"
"17" "270021.33" "1258.01" "20403.87" "Yes"
"18" "246237.58" "1344.09" "18986.99" "Yes"
"19" "282600.83" "1579" "20550.93" "Yes"
"20" "275106.19" "1695.55" "19961.95" "Yes"
"21" "288503.02" "1918.03" "20527.15" "No"
"22" "289126.35" "1921.36" "20555.71" "No"
"23" "297020.01" "2137.68" "20633.16" "No"
"24" "285598.13" "1935.89" "20350.96" "No"
"25" "287288.81" "2031.78" "20277.85" "No"
"26" "270597.05" "1714.6" "19902.32" "No"
"27" "296290.67" "2257.73" "20396.46" "No"
"28" "297480.6" "2093.03" "20722.88" "No"
"29" "265147.24" "1722.89" "19602.21" "No"
"30" "262201.78" "1531.62" "19755.47" "No"
"31" "279747.6" "1958.58" "19992.4" "No"
"32" "291628.36" "1640.23" "21153.9" "No"
"33" "308242.09" "2402.5" "20802.96" "No"
"34" "293258.28" "2013.96" "20629.09" "No"
"35" "297191.88" "2205.34" "20526.71" "No"
"36" "289266.72" "1823" "20724.09" "No"
"37" "259878.02" "2113.87" "18681.53" "No"
"38" "244987.86" "1343.38" "19139.59" "No"
"39" "248568.04" "1466.6" "19126" "No"
"40" "272853.88" "1665.61" "20102.6" "No"
"41" "298260.5" "2272.02" "20479.81" "No"
"42" "262954.87" "1435.14" "19948.13" "No"
"43" "273885.37" "1899.48" "19772.81" "No"
"44" "303444.02" "2326.66" "20663.26" "No"
"45" "268159.94" "1923.88" "19434.23" "No"
"46" "283439.45" "1981.28" "20158.08" "No"
"47" "261693.4" "1568.42" "19664.03" "No"
"48" "268091.65" "1605.36" "19947.14" "No"
"49" "264132.08" "1633.67" "19693.02" "No"
"50" "273962.74" "1775.74" "19984.95" "No"
