"y" "x1" "x2" "x3" "x4" "x5"
"1" 14.3 33.3 19.54 22.89 25.15 57.79
"2" 15.74 35.11 21.4 27.68 29.21 47.55
"3" 18.72 33.18 21.49 20.68 24.8 50.71
"4" 12.29 24.61 18.58 22.43 25.95 35.27
"5" 17.56 35.25 21.86 24.28 24.93 27.66
"6" 13.94 33.11 17.12 21.96 28.42 60.08
"7" 17.48 46.27 20.99 22.56 33.35 41.71
"8" 16.13 34.09 20.84 25.7 22.53 52.31
"9" 12.72 32.12 17.12 19.22 28.6 52.67
"10" 15.17 36.45 19.65 21.98 26.73 42.49
"11" 15.03 40.98 22.54 30.02 24.15 52.73
"12" 17.96 39.69 21.01 26.52 26.08 60.98
"13" 19.33 37.03 22.76 29.4 26.01 50.05
"14" 16.33 32.34 19.98 31.31 29.4 44.96
"15" 10.98 42.24 17.05 18.39 24.11 36.58
"16" 15.14 37.39 21.48 22.6 33.2 41.77
"17" 14.65 31.28 16.06 24.48 22.94 46.39
"18" 12.21 37 19.02 25.19 30.58 49.35
"19" 17.49 39.33 20.88 17.31 28.02 58.31
"20" 19.82 46.57 19.8 22.14 25.17 60.62
"21" 17.72 39.92 23.1 27.05 27 44.95
"22" 13.41 28.85 19.74 27.33 31.01 38.37
"23" 16.32 46.77 23.24 16.61 26.05 52.27
"24" 16.74 33.84 22.76 21.28 23.56 37.99
"25" 11.33 30.64 21.94 22.42 33.47 31.42
"26" 17.33 39.62 19.11 23.77 24.64 54.78
"27" 14.09 31.52 21.68 25.25 29.02 50.27
"28" 17.77 42.6 20.26 30.11 23.66 56.42
"29" 15.95 32.97 20.57 29.51 28.59 56.25
"30" 14.29 33.19 22.92 24.57 26.32 42.86
"31" 18.91 41.58 20.41 33.14 23.65 59.05
"32" 13.74 31.19 19.24 18.99 28.62 40.55
"33" 12.78 32.35 18.58 23.22 30.6 38.67
"34" 12.87 34.4 18.96 25.67 16.7 45.96
"35" 16.67 46.07 18.65 25.19 22.23 41.21
"36" 16.46 24.28 18.58 21.67 13.96 31.4
"37" 17.56 30.24 22.72 17.62 22.71 44.65
"38" 14.58 40.72 19.14 23.25 32.7 38.84
"39" 13.39 27.53 17.59 26.48 26.18 25.81
"40" 22.68 40.69 22.99 28.42 31 70.63
"41" 16.39 37.57 17.27 24.8 37.91 53.5
"42" 10.68 32.19 18.3 29.29 21.66 34.23
"43" 14.52 33.33 22.14 29.49 22.51 49.18
"44" 18.43 39.79 19.07 30.15 27.99 59.12
"45" 13.39 28.26 20.23 17.72 19.77 36.75
"46" 13.38 35.63 19.11 28.8 30.45 47.16
"47" 18.7 34.17 21.26 26.69 29.4 42.91
"48" 9.94 35.95 20.08 32.04 29.57 49.54
"49" 14.74 37.66 16.37 27.07 33.01 59.61
"50" 12.45 28.71 19.92 27.25 27.75 52.03
