"price" "size"
"1" 268500 1789
"2" 261100 1724
"3" 259700 1536
"4" 259600 1584
"5" 286700 2292
"6" 256900 1752
"7" 263300 1746
"8" 255500 1770
"9" 269500 1870
"10" 262800 1845
"11" 264100 1788
"12" 263600 1907
"13" 253900 1466
"14" 256000 1444
"15" 244700 1483
"16" 245800 1359
"17" 266900 2000
"18" 257200 1496
"19" 274700 1900
"20" 273400 1853
"21" 265500 2016
"22" 267700 1899
"23" 268000 1795
"24" 270200 1758
"25" 257400 1639
"26" 264600 2168
"27" 263900 1790
"28" 264400 1655
"29" 264500 1848
"30" 262800 1570
"31" 269400 1578
"32" 268900 1898
"33" 269800 1957
"34" 258600 1910
"35" 254600 1646
"36" 279500 1908
"37" 260900 1681
"38" 255200 1737
"39" 273100 1916
"40" 254400 1657
