"height" "base" "type"
"1" 49.31 10.25 "D"
"2" 49.73 10.76 "B"
"3" 52.56 11.16 "D"
"4" 47.74 9.41 "D"
"5" 45.66 8.34 "A"
"6" 46.39 9.33 "A"
"7" 47.94 9.62 "B"
"8" 55.33 12.73 "B"
"9" 56.15 11.71 "B"
"10" 46.04 10.43 "B"
"11" 47.12 9.24 "B"
"12" 52.63 10.08 "A"
"13" 58.7 12.85 "D"
"14" 58.27 11.96 "B"
"15" 56.11 10.62 "C"
"16" 42.52 6.66 "A"
"17" 44.2 4.59 "A"
"18" 45.4 6.53 "B"
"19" 57.3 10.81 "D"
"20" 49.14 8.54 "A"
"21" 54.84 9.44 "B"
"22" 58.82 12.57 "A"
"23" 49.88 11.65 "D"
"24" 44.15 5.23 "A"
"25" 53.42 11.48 "C"
"26" 52.83 9.08 "D"
"27" 53.21 10.17 "A"
"28" 51.22 10.05 "A"
"29" 38.39 5.79 "D"
"30" 55.39 10.93 "B"
"31" 53.51 10.71 "B"
"32" 51.21 8.96 "B"
"33" 51.95 11.31 "B"
"34" 50.7 9.56 "D"
"35" 49.02 10.62 "B"
"36" 52.7 10.26 "B"
"37" 48.1 9.07 "D"
"38" 47.35 10.1 "B"
"39" 49.51 9.57 "B"
"40" 56.29 11.8 "A"
"41" 48.66 10.59 "B"
"42" 40.78 8.09 "C"
"43" 49.1 7.57 "C"
"44" 52.64 13.26 "D"
"45" 38.12 6.1 "A"
"46" 52.92 10.87 "B"
"47" 44.11 9.62 "B"
"48" 53.03 12.19 "B"
"49" 50 8.04 "A"
"50" 41.74 8.36 "A"
"51" 51.47 11.21 "B"
"52" 50.47 10.39 "A"
"53" 52.3 12.7 "D"
"54" 52.34 12.95 "B"
"55" 47.72 10.26 "D"
"56" 58.25 12.31 "B"
"57" 44.42 6.67 "B"
"58" 45.06 8.01 "B"
"59" 59.4 13.05 "D"
"60" 42.37 8.72 "C"
"61" 49.45 10.35 "D"
"62" 46.17 9.29 "A"
"63" 43.21 6.63 "B"
"64" 59.42 13.76 "D"
"65" 43.54 7.11 "A"
"66" 52.85 12.24 "D"
"67" 58.71 9.9 "D"
"68" 56.65 12.06 "A"
"69" 51.43 10.79 "D"
"70" 50.5 8.85 "B"
"71" 51.13 8.18 "D"
"72" 46.91 7.85 "D"
"73" 51.79 12.27 "B"
"74" 40.5 5.96 "B"
"75" 48.54 9.76 "D"
"76" 51.83 11.57 "B"
"77" 54.87 10.32 "D"
"78" 46.18 8.57 "A"
"79" 54.83 12.16 "A"
"80" 61.94 13.37 "B"
"81" 47.99 8.16 "D"
"82" 48.12 9.88 "D"
"83" 48.6 7.84 "B"
"84" 39.12 6.78 "B"
"85" 56.91 11.58 "B"
"86" 42.61 7.65 "B"
"87" 47.91 8.69 "C"
"88" 52.86 10.72 "B"
"89" 46.15 9.84 "B"
"90" 42.91 5.99 "B"
"91" 39.86 6.92 "D"
"92" 46.29 9.19 "C"
"93" 43.17 6.94 "D"
"94" 47.77 11.83 "B"
"95" 51.97 10.16 "A"
"96" 49.96 10.42 "C"
"97" 48.06 9.18 "B"
"98" 53.81 10.14 "D"
"99" 46.39 9.04 "B"
"100" 59.16 14.8 "C"
"101" 56.22 13.12 "A"
"102" 51.01 13.2 "B"
"103" 48.65 9.44 "D"
"104" 51.75 12.49 "B"
"105" 58.52 15.5 "C"
"106" 45.58 8.81 "C"
"107" 55.76 11.6 "C"
"108" 55.95 12.4 "B"
"109" 52.51 9.62 "D"
"110" 51.29 13.57 "B"
"111" 46.67 9.64 "A"
"112" 55.07 11.59 "B"
"113" 53.46 9.46 "B"
"114" 52.83 10.38 "B"
"115" 50.88 10.49 "B"
"116" 45.4 8.4 "D"
"117" 57.22 12.33 "C"
"118" 44.12 6.83 "B"
"119" 49.15 10.07 "B"
"120" 43.38 8.64 "D"
"121" 53.29 11.46 "D"
"122" 57.5 10.67 "B"
"123" 49.43 8.92 "B"
"124" 56.43 12.23 "D"
"125" 48.01 10.27 "B"
"126" 50.13 11.82 "C"
"127" 58.93 13.83 "C"
"128" 55.35 11.37 "B"
"129" 44.84 9.98 "B"
"130" 47.16 9.18 "B"
"131" 42.93 9.78 "A"
"132" 51.47 9.51 "C"
"133" 59.21 13.47 "D"
"134" 51.06 9.72 "D"
"135" 46.71 9.95 "A"
"136" 50.47 10.34 "D"
"137" 49.8 8.4 "D"
"138" 48.28 7.55 "B"
"139" 44.26 6.62 "B"
"140" 55.11 12.21 "D"
"141" 48.62 10.86 "B"
"142" 51.51 8.12 "D"
"143" 52.26 10.09 "B"
"144" 49.18 8.82 "D"
"145" 54.95 11.54 "A"
"146" 53.81 12.69 "B"
"147" 40.19 5.79 "B"
"148" 49.87 9.88 "C"
"149" 52.77 10.78 "D"
"150" 51.29 10.71 "C"
"151" 44.08 6.75 "A"
"152" 60.77 12.56 "B"
"153" 48.72 9.6 "D"
"154" 49.57 11.19 "B"
"155" 59.71 13.83 "B"
"156" 55.19 14.05 "D"
"157" 50.82 9.6 "A"
"158" 52.91 10.8 "D"
"159" 47.53 9.26 "C"
"160" 49.63 11.35 "B"
"161" 44.38 8.53 "B"
"162" 46.35 6.3 "B"
"163" 47.76 11.38 "D"
"164" 57.08 13.36 "B"
"165" 51.94 8.61 "B"
"166" 51.13 8.25 "B"
"167" 51.44 10.94 "B"
"168" 42.7 8.46 "B"
"169" 46.49 7.47 "A"
"170" 47.64 7.23 "B"
"171" 53.17 14.39 "B"
"172" 41.99 7.53 "D"
"173" 51.19 10.68 "B"
"174" 57.55 12.45 "B"
"175" 53.54 11.46 "D"
"176" 46.82 7.97 "D"
"177" 43.93 7.84 "D"
"178" 42.2 7.09 "D"
"179" 42.11 7.67 "B"
"180" 40.97 6.2 "B"
"181" 54.6 11.32 "B"
"182" 50.05 11.05 "B"
"183" 49.74 10.68 "B"
"184" 46.31 9.53 "D"
"185" 45.6 9.91 "B"
"186" 58.37 10.63 "C"
"187" 52.79 10.76 "A"
"188" 47.42 8.91 "D"
"189" 52.54 10.47 "D"
"190" 49.91 10.23 "B"
"191" 49.16 9.95 "D"
"192" 39.05 7.56 "B"
"193" 58.8 12.85 "B"
"194" 44.75 8.56 "A"
"195" 49.18 9.41 "D"
"196" 52.55 11.82 "D"
"197" 47.29 9.96 "B"
"198" 50.17 9.52 "B"
"199" 50.6 10.85 "C"
"200" 49.54 9.57 "B"
"201" 44.34 7.28 "C"
"202" 48 11.19 "D"
"203" 49.38 7.42 "C"
"204" 48.61 7.13 "B"
"205" 46.41 8.69 "B"
"206" 52.06 13.38 "D"
"207" 55.11 12.02 "A"
"208" 49.39 11.09 "D"
"209" 45.61 8.54 "C"
"210" 52.27 10 "B"
"211" 51.06 10.64 "B"
"212" 49.77 10.09 "B"
"213" 47.65 8.99 "A"
"214" 51.37 8.95 "D"
"215" 45.87 8.17 "A"
"216" 53.52 11.87 "B"
"217" 51.12 9.28 "D"
"218" 43.57 8.38 "D"
"219" 44.98 6.92 "C"
"220" 56.55 10.1 "D"
"221" 43.07 9.15 "D"
"222" 51.43 9.17 "D"
"223" 44.61 9.14 "A"
"224" 61 14.06 "B"
"225" 50.88 9.52 "B"
"226" 49.54 12.97 "B"
"227" 54.74 11.84 "D"
"228" 52.37 9.93 "B"
"229" 56.72 12.6 "D"
"230" 53.71 11.01 "B"
"231" 44.7 9.35 "B"
"232" 50.37 8 "C"
"233" 58.46 13.53 "A"
"234" 53.36 11.85 "C"
"235" 49.12 7.8 "B"
"236" 57.55 14.25 "D"
"237" 53.01 12.77 "D"
"238" 51.03 10.98 "D"
"239" 46.17 7.61 "B"
"240" 52.3 10.55 "A"
"241" 53.57 10.53 "A"
"242" 46.88 8.31 "D"
"243" 60.03 12.47 "D"
"244" 54.13 10.63 "A"
"245" 45.6 9.01 "B"
"246" 42.7 5.5 "B"
"247" 43.17 6.58 "A"
"248" 48.76 10.41 "D"
"249" 61.47 16.52 "D"
"250" 51.3 9.18 "D"
"251" 41.87 4.56 "A"
"252" 54.28 11.27 "D"
"253" 45.58 8.76 "C"
"254" 46.03 7.75 "A"
"255" 56.55 13.06 "A"
"256" 55.1 11.06 "B"
"257" 41.09 7.5 "D"
"258" 42.45 7.78 "D"
"259" 45.12 8.89 "B"
"260" 52.09 9.35 "D"
"261" 39.34 6.02 "D"
"262" 42.22 6.73 "D"
"263" 52.35 11.06 "D"
"264" 46.44 8.75 "A"
"265" 47.14 9.38 "C"
"266" 49.01 7.1 "D"
"267" 51.84 11.54 "D"
"268" 51.16 10.33 "D"
"269" 46.71 7.06 "D"
"270" 52.13 12.8 "B"
"271" 55.07 10.69 "D"
"272" 44.14 6.27 "B"
"273" 53.97 11.33 "B"
"274" 50.58 10.53 "B"
"275" 50.25 9.89 "B"
"276" 68.81 17.63 "D"
"277" 42.71 6.92 "B"
"278" 53.6 9.44 "D"
"279" 50.7 6.37 "A"
"280" 46.12 10.17 "A"
"281" 48.64 9.97 "D"
"282" 46.6 7.22 "B"
"283" 48.98 9.89 "B"
"284" 42.38 8.1 "B"
"285" 42.81 9.53 "D"
"286" 50.99 10.93 "B"
"287" 49.85 10.6 "B"
"288" 54.34 12.72 "B"
"289" 49.14 9.18 "A"
"290" 45.29 8.46 "A"
"291" 58.67 13.55 "C"
"292" 38.69 8.24 "D"
"293" 48.88 8.22 "B"
"294" 55.16 9.78 "A"
"295" 50.58 11.03 "D"
"296" 48.8 10.84 "C"
"297" 42.4 7.61 "D"
"298" 56.69 11.51 "D"
"299" 47.36 10.45 "D"
"300" 51.79 11.68 "A"
